Sample,Condition,RollsImagined
brasilia,two6,1
brasilia,two6,1
brasilia,three6,20
brasilia,two6,3.00000000000001
brasilia,three6,20
brasilia,two6,0
brasilia,two6,3.00000000000001
brasilia,two6,0
brasilia,two6,6.00000000000001
brasilia,two6,4
brasilia,three6,4
brasilia,two6,5
brasilia,three6,3.00000000000001
brasilia,two6,5
brasilia,two6,3.00000000000001
brasilia,three6,4
brasilia,two6,30
brasilia,three6,36
brasilia,two6,6.00000000000001
brasilia,two6,46
brasilia,three6,24
brasilia,three6,3.00000000000001
brasilia,two6,2.00000000000001
brasilia,three6,2.00000000000001
brasilia,two6,30
brasilia,two6,4
brasilia,two6,3.00000000000001
brasilia,three6,10
brasilia,two6,2.00000000000001
brasilia,three6,2.00000000000001
brasilia,three6,20
brasilia,three6,1
brasilia,two6,7
brasilia,three6,211.999999999999
brasilia,three6,8
brasilia,three6,3.00000000000001
brasilia,three6,2.00000000000001
brasilia,two6,4
brasilia,three6,6.00000000000001
brasilia,three6,5
brasilia,three6,2.00000000000001
brasilia,two6,1
brasilia,two6,0
brasilia,two6,4
brasilia,three6,8
brasilia,two6,50.0000000000001
brasilia,two6,7
brasilia,three6,3.00000000000001
brasilia,three6,3.00000000000001
brasilia,three6,4
brasilia,two6,0
brasilia,two6,0
brasilia,three6,3.00000000000001
brasilia,two6,3.00000000000001
brasilia,two6,5
brasilia,three6,3.00000000000001
brasilia,three6,42
brasilia,two6,1
brasilia,three6,3.00000000000001
brasilia,two6,4
brasilia,three6,6.00000000000001
brasilia,three6,15
brasilia,two6,47
brasilia,three6,5
brasilia,three6,20
brasilia,three6,6.00000000000001
brasilia,three6,10
brasilia,two6,0
brasilia,three6,2.00000000000001
brasilia,three6,200.000000000001
brasilia,three6,4
brasilia,three6,6.00000000000001
brasilia,three6,3.00000000000001
brasilia,three6,5
brasilia,three6,5
brasilia,three6,3.00000000000001
brasilia,three6,2.00000000000001
brasilia,three6,2.00000000000001
brasilia,three6,5
brasilia,two6,15
brasilia,three6,8
brasilia,three6,36
brasilia,three6,1
brasilia,two6,5
brasilia,two6,2.00000000000001
brasilia,two6,6.00000000000001
brasilia,three6,3.00000000000001
brasilia,three6,2.00000000000001
brasilia,three6,24
brasilia,three6,8
brasilia,three6,2.00000000000001
brasilia,two6,6.00000000000001
brasilia,two6,62
brasilia,two6,3.00000000000001
brasilia,three6,4
brasilia,three6,5
brasilia,two6,3.00000000000001
brasilia,two6,1
brasilia,three6,2.00000000000001
brasilia,two6,5
brasilia,two6,0
brasilia,three6,2.00000000000001
brasilia,three6,5
brasilia,two6,0
brasilia,two6,3.00000000000001
brasilia,three6,1
brasilia,two6,1
brasilia,three6,30
brasilia,three6,1
brasilia,three6,10
brasilia,two6,3.00000000000001
brasilia,two6,5
brasilia,two6,8
brasilia,three6,500
